ISIN Code,Lowest Accepted Yield,Average Yield,Highest Accepted Yield,Average Rate of Discount (%),Average Price per £100 Nominal (£),Tail (In Yield Terms),Amount Tendered For (£),Amount On Offer (£),Bid to Cover Ratio,Amount Allocated (£),Maturity (Months),Maturity Date,Highest Yield % Filled,Date
GB00B6H6GD73,0.42,0.4495940000000001,0.45299999999999996,0.448588,99.776320329777,0.003406,5611750000,1500000000,3.74,1500000000.0,6,2012-10-22,99.45,2012-04-20
GB00B6H31226,0.35,0.376117,0.384,0.37600900000000004,99.97115551148799,0.007883,4137450000,500000000,8.27,499996000.0,1,2012-05-28,48.62,2012-04-27
GB00B6H4G201,0.369,0.403044,0.41100000000000003,0.40263899999999997,99.899615928412,0.007956,5021000000,1000000000,5.02,1000000000.0,3,2012-07-30,54.0,2012-04-27
GB00B6H6MS45,0.42,0.437443,0.44799999999999995,0.43649099999999996,99.782352474695,0.010557,4776000000,1500000000,3.18,1499979800.0,6,2012-10-29,28.61,2012-04-27
GB00B6H6T944,0.419,0.43358800000000003,0.44,0.432658,99.785449178788,0.006412,3669300000,1500000000,2.45,1499967400.0,6,2012-11-05,90.66,2012-05-04
GB00B6H4LR07,0.36,0.39279200000000003,0.4,0.392412,99.90324089201,0.007208,5101600000,1000000000,5.1,999983580.0,3,2012-08-06,94.87,2012-05-04
GB00B6H35086,0.33899999999999997,0.3396,0.345,0.33950800000000003,99.97302536046699,0.0054,4246000000,500000000,8.49,499995000.0,1,2012-06-06,90.9,2012-05-04
GB00B6H39625,0.32,0.32732100000000003,0.33,0.327239,99.97489674715099,0.0026790000000000004,3851500000,500000000,7.7,499993600.0,1,2012-06-11,62.27,2012-05-11
GB00B6H4SN53,0.349,0.373652,0.389,0.37330399999999997,99.906929627664,0.015347999999999997,6147150000,1000000000,6.15,999993980.0,3,2012-08-13,5.16,2012-05-11
GB00B6H6Z412,0.39,0.425599,0.439,0.424698,99.78823291699499,0.013401,4449600000,1500000000,2.97,1500000000.0,6,2012-11-12,21.12,2012-05-11
GB00B6H1M452,0.27,0.308612,0.318,0.308539,99.97633125821501,0.009388,2007650000,500000000,4.02,500000000.0,1,2012-06-18,70.75,2012-05-18
GB00B6H50218,0.331,0.350858,0.363,0.3505510000000001,99.91260226415702,0.012142,4560850000,1000000000,4.56,1000000000.0,3,2012-08-20,95.6,2012-05-18
GB00B6H74Z88,0.39,0.415634,0.42100000000000004,0.414774,99.79318098916,0.005365999999999999,5302350000,1500000000,3.53,1500000000.0,6,2012-11-19,14.55,2012-05-18
GB00B6H5W692,0.275,0.326824,0.39,0.32674200000000003,99.97493485405501,0.063176,1490050000,1000000000,1.49,1000000000.0,1,2012-06-25,34.95,2012-05-25
GB00B6H56892,0.3,0.331152,0.34,0.330876,99.91660116240101,0.008848,3298700000,1000000000,3.3,999967200.0,3,2012-08-28,44.08,2012-05-25
GB00B7NS7S62,0.36,0.382927,0.38799999999999996,0.382197,99.80942493954001,0.005072999999999999,7492400000,1500000000,4.99,1500000000.0,6,2012-11-26,79.9,2012-05-25
GB00B6H3LZ57,0.285,0.3408080000000001,0.368,0.340725,99.975729157922,0.027192,4035500000,1500000000,2.69,1500000000.0,1,2012-07-02,7.8,2012-06-01
GB00B6H5C363,0.3,0.33358000000000004,0.34700000000000003,0.333309,99.918727421116,0.013419999999999998,4796400000,1500000000,3.2,1500000000.0,3,2012-09-03,75.68,2012-06-01
GB00B7NSDT97,0.349,0.373329,0.37799999999999995,0.372643,99.816230880589,0.004671,5437150000,1500000000,3.62,1499974000.0,6,2012-12-03,97.44,2012-06-01
GB00B6H3VV18,0.29,0.34346400000000005,0.3670000000000001,0.343374,99.973659017015,0.023536,5918700000,2000000000,2.96,1999999000.0,1,2012-07-09,72.57,2012-06-08
GB00B6H5JL30,0.3,0.329687,0.342,0.329416,99.917871569247,0.012313,5207550000,1500000000,3.47,1499998820.0,3,2012-09-10,45.32,2012-06-08
GB00B7NSKQ59,0.34,0.366779,0.376,0.366109,99.817446803167,0.009221,5399350000,1500000000,3.6,1500000000.0,6,2012-12-10,90.6,2012-06-08
GB00B7NSP159,0.3,0.33184,0.349,0.33129200000000003,99.83480791113399,0.017159999999999998,6842650000,1500000000,4.56,1499988000.0,6,2012-12-17,78.92,2012-06-15
GB00B6H5QX45,0.26,0.33301400000000003,0.359,0.33273800000000003,99.91704346678101,0.025986,3822000000,1500000000,2.55,1500000000.0,3,2012-09-17,12.0,2012-06-15
GB00B6H41035,0.29,0.33802,0.37,0.337932,99.974076420693,0.03198,4566050000,2000000000,2.28,1999982500.0,1,2012-07-16,43.97,2012-06-15
GB00B6H48H91,0.29,0.33643700000000004,0.349,0.33635,99.974197793504,0.012563,4064300000,1500000000,2.71,1499994000.0,1,2012-07-23,67.56,2012-06-22
GB00B6H5W585,0.31,0.346229,0.379,0.34593,99.91375434049601,0.032770999999999995,3222100000,1500000000,2.15,1500000000.0,3,2012-09-24,35.8,2012-06-22
GB00B7NSVG25,0.3,0.371579,0.408,0.370892,99.81506216605,0.036421,2829500000,1500000000,1.89,1500000000.0,6,2012-12-24,55.5,2012-06-22
GB00B6H4G201,0.3,0.334627,0.344,0.334541,99.97433657136801,0.009373,3269300000,1000000000,3.27,999993200.0,1,2012-07-30,19.72,2012-06-29
GB00B6H60688,0.32899999999999996,0.353502,0.3720000000000001,0.353191,99.911944231179,0.018498,2575000000,1000000000,2.58,1000000000.0,3,2012-10-01,50.0,2012-06-29
GB00B7NT0P78,0.36,0.378445,0.4,0.377732,99.81165133942,0.021555,4205100000,1500000000,2.8,1499999600.0,6,2012-12-31,39.23,2012-06-29
GB00B6H4LR07,0.29,0.323168,0.33299999999999996,0.323088,99.975215174536,0.009832,3757250000,1000000000,3.76,1000000000.0,1,2012-08-06,73.0,2012-07-06
GB00B6H64F50,0.3,0.325407,0.349,0.32514299999999996,99.918936897085,0.023593000000000003,3813000000,1000000000,3.81,999996000.0,3,2012-10-08,49.64,2012-07-06
GB00B7NT4F50,0.34600000000000003,0.376854,0.385,0.376147,99.812441680623,0.008145999999999999,6419600000,1500000000,4.28,1499989500.0,6,2013-01-07,19.63,2012-07-06
GB00B6H4SN53,0.27,0.29399899999999995,0.31,0.293933,99.977451737443,0.016000999999999998,2197300000,500000000,4.39,499998000.0,1,2012-08-13,10.4,2012-07-13
GB00B6H68087,0.28,0.315406,0.325,0.315158,99.92142631829,0.009594,3965950000,1000000000,3.97,999964270.0,3,2012-10-15,37.27,2012-07-13
GB00B7NT8D17,0.32,0.347416,0.361,0.346815,99.827067486932,0.013584,7592250000,1500000000,5.06,1500000000.0,6,2013-01-14,42.65,2012-07-13
GB00B6H50218,0.25,0.26121700000000003,0.26899999999999996,0.26116500000000004,99.97996545025299,0.007783,2240050000,500000000,4.48,499996000.0,1,2012-08-20,20.48,2012-07-20
GB00B6H6GD73,0.25,0.273721,0.28,0.273534,99.931803769134,0.006279,3877100000,1000000000,3.88,999969500.0,3,2012-10-22,49.77,2012-07-20
GB00B7NTGQ05,0.28600000000000003,0.317063,0.325,0.31656300000000004,99.84215238548401,0.007937,5746100000,1500000000,3.83,1499992000.0,6,2013-01-21,38.66,2012-07-20
GB00B6H56892,0.23,0.247815,0.263,0.247766,99.980314465008,0.015184999999999999,2075000000,500000000,4.15,500000000.0,1,2012-08-28,26.14,2012-07-27
GB00B6H6MS45,0.23,0.263492,0.27899999999999997,0.263319,99.93435060072198,0.015508000000000001,3105450000,1000000000,3.11,1000000000.0,3,2012-10-29,49.55,2012-07-27
GB00B7NTNF82,0.249,0.273304,0.285,0.272932,99.86390785216999,0.011696,6700350000,1500000000,4.47,1499988500.0,6,2013-01-28,34.09,2012-07-27
GB00B6H5C363,0.21,0.219885,0.235,0.219848,99.983134954367,0.015115,2209400000,500000000,4.42,500000000.0,1,2012-09-03,5.31,2012-08-03
GB00B6H6T944,0.22,0.243135,0.25,0.242988,99.939419503035,0.006865,3640600000,1000000000,3.64,999985000.0,3,2012-11-05,68.3,2012-08-03
GB00B7NTSY27,0.215,0.25111100000000003,0.284,0.250797,99.87494507084,0.032889,4140500000,1500000000,2.76,1500000000.0,6,2013-02-04,74.0,2012-08-03
GB00B6H5JL30,0.2,0.210363,0.21899999999999997,0.210329,99.983865168132,0.008637,2164100000,500000000,4.33,500000000.0,1,2012-09-10,15.0,2012-08-10
GB00B6H6Z412,0.21,0.237789,0.25,0.237648,99.94075074473301,0.012211,3528900000,1000000000,3.53,999959600.0,3,2012-11-12,63.48,2012-08-10
GB00B7NTYH79,0.21,0.271385,0.294,0.271018,99.86486212984,0.022615,4035800000,1500000000,2.69,1500000000.0,6,2013-02-11,24.2,2012-08-10
GB00B6H5QX45,0.19899999999999998,0.222086,0.245,0.222048,99.98296616776301,0.022914,1478250000,500000000,2.96,500000000.0,1,2012-09-17,22.5,2012-08-17
GB00B6H74Z88,0.2,0.237896,0.249,0.23775500000000002,99.94072409962901,0.011104000000000001,3129300000,1000000000,3.13,999982440.0,3,2012-11-19,55.92,2012-08-17
GB00B7NV2K28,0.259,0.29158100000000003,0.299,0.29115800000000003,99.85482000478201,0.0074189999999999985,3951500000,1500000000,2.63,1499975000.0,6,2013-02-18,86.7,2012-08-17
GB00B6H5W585,0.21,0.220245,0.24,0.22020900000000002,99.98371055800199,0.019755,1602600000,500000000,3.21,500000000.0,1,2012-09-24,51.81,2012-08-24
GB00B7NS7S62,0.2,0.238709,0.249,0.238569,99.941174870902,0.010291,1624850000,500000000,3.25,500000000.0,3,2012-11-26,97.36,2012-08-24
GB00B7NV7T65,0.25,0.295419,0.309,0.294987,99.853718845919,0.013581000000000001,4056950000,1500000000,2.7,1500000000.0,6,2013-02-25,20.42,2012-08-24
GB00B7NVDS77,0.278,0.293358,0.305,0.29293,99.853936517758,0.011642,3886000000,1500000000,2.59,1500000000.0,6,2013-03-04,59.3,2012-08-31
GB00B7NSDT97,0.225,0.24198699999999998,0.257,0.241841,99.939705370877,0.015013,1715000000,500000000,3.43,500000000.0,3,2012-12-03,36.44,2012-08-31
GB00B6H60688,0.21,0.234223,0.264,0.234181,99.98203543605499,0.029777,1958700000,1000000000,1.96,1000000000.0,1,2012-10-01,74.33,2012-08-31
GB00B6H64F50,0.22,0.24016300000000002,0.262,0.240119,99.981579930602,0.021837,2414200000,1000000000,2.41,1000000000.0,1,2012-10-08,63.33,2012-09-07
GB00B7NSKQ59,0.21,0.23602,0.254,0.235881,99.94119126256201,0.01798,2185000000,500000000,4.37,499984000.0,3,2012-12-10,18.56,2012-09-07
GB00B7NVHV86,0.26,0.300718,0.316,0.30026800000000003,99.850277447029,0.015282,3670400000,1500000000,2.45,1500000000.0,6,2013-03-11,56.84,2012-09-07
GB00B6H68087,0.239,0.263466,0.32,0.263413,99.97979299364599,0.056534,1917000000,1000000000,1.92,1000000000.0,1,2012-10-15,98.0,2012-09-14
GB00B7NSP159,0.21,0.230732,0.249,0.230599,99.942508107808,0.018268,1814000000,500000000,3.63,499995900.0,3,2012-12-17,66.49,2012-09-14
GB00B7NVPJ25,0.28,0.302025,0.314,0.301571,99.849627691719,0.011975,3599200000,1500000000,2.4,1499996000.0,6,2013-03-18,45.04,2012-09-14
GB00B6H6GD73,0.23,0.26313400000000003,0.281,0.263081,99.979818451854,0.017866,3102000000,1000000000,3.1,1000000000.0,1,2012-10-22,59.09,2012-09-21
GB00B7NSVG25,0.2,0.263956,0.289,0.263782,99.93423507050301,0.025044,1678750000,500000000,3.36,500000000.0,3,2012-12-24,92.5,2012-09-21
GB00B7NVTY55,0.27899999999999997,0.303527,0.31,0.303068,99.848881005548,0.0064730000000000005,5020700000,1500000000,3.35,1499965400.0,6,2013-03-25,83.86,2012-09-21
GB00B6H6MS45,0.225,0.23658200000000001,0.24,0.236539,99.981854537012,0.003418,2623550000,500000000,5.25,499969810.0,1,2012-10-29,99.27,2012-09-28
GB00B7NT0P78,0.22,0.261147,0.27,0.260977,99.934934480591,0.008853,1966100000,500000000,3.93,499980900.0,3,2012-12-31,85.47,2012-09-28
GB00B7NVY171,0.27899999999999997,0.300098,0.309,0.299647,99.849765949143,0.008902,3878900000,1500000000,2.59,1499996320.0,6,2013-04-02,44.28,2012-09-28
GB00B6H6T944,0.21,0.22894,0.23399999999999999,0.2289,99.982440563333,0.00506,2525650000,500000000,5.05,499985850.0,1,2012-11-05,2.55,2012-10-05
GB00B7NT4F50,0.22899999999999998,0.251853,0.258,0.251695,99.937248654094,0.0061470000000000006,2484650000,500000000,4.97,500000000.0,3,2013-01-07,26.44,2012-10-05
GB00B7NW2L66,0.27899999999999997,0.298872,0.303,0.298427,99.851195172454,0.004128,4011100000,1500000000,2.67,1499954200.0,6,2013-04-08,5.03,2012-10-05
GB00B6H6Z412,0.215,0.22000100000000009,0.225,0.219964,99.98312605873801,0.004999,1957650000,500000000,3.92,499972000.0,1,2012-11-12,19.52,2012-10-12
GB00B7NT8D17,0.235,0.246416,0.25,0.246265,99.93860249777501,0.003584000000000001,2573500000,500000000,5.15,499999100.0,3,2013-01-14,26.41,2012-10-12
GB00B7NW6D62,0.28,0.29689499999999996,0.306,0.296456,99.852178042281,0.009105,3449600000,1500000000,2.3,1500000000.0,6,2013-04-15,36.4,2012-10-12
GB00B6H74Z88,0.19,0.21678000000000008,0.23399999999999999,0.216744,99.98337306637899,0.01722,1498050000,500000000,3.0,500000000.0,1,2012-11-19,10.18,2012-10-19
GB00B7NTGQ05,0.2,0.24095100000000005,0.249,0.240806,99.93996335057699,0.008048999999999999,1996500000,500000000,3.99,500000000.0,3,2013-01-21,14.0,2012-10-19
GB00B7NWC506,0.28,0.29796500000000004,0.305,0.29752300000000004,99.851646087063,0.007035,3482100000,1500000000,2.32,1499997500.0,6,2013-04-22,15.37,2012-10-19
GB00B7NWHT97,0.27,0.297749,0.304,0.297308,99.851753471959,0.006251,3476150000,1500000000,2.32,1500000000.0,6,2013-04-29,21.4,2012-10-26
GB00B7NTNF82,0.21,0.23475100000000002,0.24,0.234614,99.941507272373,0.005249,1525650000,500000000,3.05,500000000.0,3,2013-01-28,92.68,2012-10-26
GB00B7NS7S62,0.19,0.214285,0.22899999999999998,0.21425,99.983564400364,0.014715,1644650000,500000000,3.29,499996000.0,1,2012-11-26,78.45,2012-10-26
GB00B7NSDT97,0.195,0.212174,0.218,0.212139,99.983726287125,0.005826,2235700000,500000000,4.47,500000000.0,1,2012-12-03,95.0,2012-11-02
GB00B7NTSY27,0.21,0.2313500000000001,0.23800000000000002,0.231217,99.942354208445,0.0066500000000000005,1760300000,500000000,3.52,499995700.0,3,2013-02-04,85.21,2012-11-02
GB00B7NWMK57,0.28,0.296813,0.307,0.296372,99.85140803115499,0.010187,2712000000,1500000000,1.81,1499992500.0,6,2013-05-07,95.33,2012-11-02
GB00B7NSKQ59,0.19899999999999998,0.21188,0.21899999999999997,0.211846,99.983748833214,0.007120000000000001,1192650000,500000000,2.39,499998200.0,1,2012-12-10,74.18,2012-11-09
GB00B7NTYH79,0.2,0.208978,0.225,0.208869,99.947925767003,0.016022,2053400000,500000000,4.11,499999920.0,3,2013-02-11,91.56,2012-11-09
GB00B7NWQT21,0.29,0.300221,0.306,0.299772,99.85052452529101,0.005778999999999999,3565850000,1500000000,2.38,1499990000.0,6,2013-05-13,56.38,2012-11-09
GB00B7NSP159,0.19,0.20529499999999998,0.215,0.205263,99.984253822278,0.009705,1319300000,500000000,2.64,500000000.0,1,2012-12-17,28.0,2012-11-16
GB00B7NV2K28,0.2,0.22628,0.247,0.226152,99.94361679489501,0.02072,1382250000,500000000,2.76,500000000.0,3,2013-02-18,71.0,2012-11-16
GB00B7NTMJ55,0.23,0.303155,0.315,0.302697,99.84906593610201,0.011845,2922300000,1500000000,1.95,1499994000.0,6,2013-05-20,66.21,2012-11-16
GB00B7NX0D74,0.29,0.316587,0.34,0.316085,99.84152436309,0.023413,3074100000,1500000000,2.05,1499989500.0,6,2013-05-28,53.57,2012-11-23
GB00B7NV7T65,0.2,0.223752,0.244,0.223627,99.944246356823,0.020248,1514700000,500000000,3.03,499998400.0,3,2013-02-25,36.78,2012-11-23
GB00B7NSVG25,0.19,0.207748,0.22,0.207715,99.984065706546,0.012252,1704100000,500000000,3.41,500000000.0,1,2012-12-24,78.0,2012-11-23
GB00B7NT0P78,0.19,0.25014000000000003,0.42,0.250092,99.980814859485,0.16985999999999998,859500000,500000000,1.72,500000000.0,1,2012-12-31,20.25,2012-11-30
GB00B7NVDS77,0.21,0.231752,0.239,0.231618,99.942254099404,0.007248,1755300000,500000000,3.51,499997720.0,3,2013-03-04,64.81,2012-11-30
GB00B7NX3T40,0.299,0.320566,0.335,0.320054,99.84041122437999,0.014434,4575900000,1500000000,3.05,1499992000.0,6,2013-06-03,39.2,2012-11-30
GB00B7NT4F50,0.2,0.20998000000000008,0.22,0.209946,99.98389453948201,0.01002,4170100000,500000000,8.34,499994650.0,1,2013-01-07,48.69,2012-12-07
GB00B7NVHV86,0.18899999999999997,0.191882,0.2,0.19179,99.95218380085501,0.008118,1963500000,500000000,3.93,499996500.0,3,2013-03-11,75.94,2012-12-07
GB00B7NX6H33,0.29,0.319488,0.332,0.31898000000000004,99.84094703625799,0.012512,4018700000,1500000000,2.68,1499995000.0,6,2013-06-10,3.06,2012-12-07
GB00B7NVTZ62,0.28,0.324799,0.32899999999999996,0.32427399999999995,99.838307298856,0.004201,4153950000,1500000000,2.77,1499998400.0,6,2013-06-17,88.93,2012-12-14
GB00B7NVPJ25,0.18,0.18595,0.205,0.185864,99.953661345678,0.01905,1572600000,500000000,3.15,499996500.0,3,2013-03-18,18.65,2012-12-14
GB00B7NT8D17,0.175,0.183951,0.19,0.183925,99.985890681421,0.0060490000000000006,2322050000,500000000,4.64,499992000.0,1,2013-01-14,52.8,2012-12-14
GB00B7NTGQ05,0.15,0.179543,0.19,0.17951799999999998,99.98622873509599,0.010457,1667100000,500000000,3.33,500000000.0,1,2013-01-21,14.5,2012-12-21
GB00B7NVTY55,0.17,0.309485,0.4,0.309246,99.922900215662,0.090515,1523650000,500000000,3.05,499993500.0,3,2013-03-25,77.47,2012-12-21
GB00B7NXF986,0.29,0.326819,0.35,0.326287,99.837303330686,0.023181,3655800000,1500000000,2.44,1499996000.0,6,2013-06-24,63.76,2012-12-21
GB00B7NTSY27,0.17,0.207934,0.23,0.20790100000000009,99.98405144260201,0.022066,1995150000,500000000,3.99,500000000.0,1,2013-02-04,26.35,2013-01-04
GB00B7NW2L66,0.196,0.243002,0.265,0.242855,99.939452621787,0.021998000000000004,2214000000,500000000,4.43,500000000.0,3,2013-04-08,71.0,2013-01-04
GB00B7NXJZ21,0.31,0.334356,0.349,0.333799,99.833557514793,0.014643999999999999,4930650000,1500000000,3.29,1499967500.0,6,2013-07-08,59.63,2013-01-04
GB00B7NTYH79,0.18,0.207559,0.23,0.20752600000000002,99.984080200558,0.022441,1615250000,500000000,3.23,500000000.0,1,2013-02-11,73.5,2013-01-11
GB00B7NW6D62,0.21,0.25296399999999997,0.27699999999999997,0.252805,99.936972013339,0.024036,2211600000,500000000,4.42,500000000.0,3,2013-04-15,40.8,2013-01-11
GB00B7NWCB68,0.319,0.337144,0.344,0.33657800000000004,99.832171977052,0.006856,4871200000,1500000000,3.25,1500000000.0,6,2013-07-15,67.0,2013-01-11
GB00B7NV2K28,0.19899999999999998,0.213619,0.24,0.213584,99.983615474009,0.026381,1562700000,500000000,3.13,500000000.0,1,2013-02-18,76.6,2013-01-18
GB00B7NWC506,0.22,0.264371,0.28300000000000003,0.264197,99.9341317409,0.018629,1636250000,500000000,3.27,500000000.0,3,2013-04-22,63.5,2013-01-18
GB00B7NXS559,0.3,0.348595,0.369,0.34799,99.82648163696899,0.020405000000000003,3368200000,1500000000,2.25,1500000000.0,6,2013-07-22,34.6,2013-01-18
GB00B7NV7T65,0.2,0.285179,0.45,0.285117,99.97812803966801,0.164821,996300000,500000000,1.99,499990000.0,1,2013-02-25,1.23,2013-01-25
GB00B7NWHT97,0.235,0.289862,0.33,0.289653,99.927785223044,0.040138,1235800000,500000000,2.47,500000000.0,3,2013-04-29,42.8,2013-01-25
GB00B7NXY680,0.32899999999999996,0.35136100000000003,0.368,0.35074599999999995,99.82510722714899,0.016638999999999998,3804900000,1500000000,2.54,1499983000.0,6,2013-07-29,49.55,2013-01-25
GB00B7NVDS77,0.23,0.29505,0.345,0.294983,99.97737114920601,0.04995,1940350000,500000000,3.88,500000000.0,1,2013-03-04,30.7,2013-02-01
GB00B7NWMK57,0.25,0.289196,0.318,0.288985,99.927159857183,0.028804000000000007,1774950000,500000000,3.55,500000000.0,3,2013-05-07,90.4,2013-02-01
GB00B7NY2564,0.3,0.366813,0.38299999999999995,0.366143,99.81742991158701,0.016187,3681500000,1500000000,2.45,1500000000.0,6,2013-08-05,99.25,2013-02-01
GB00B7NVHV86,0.28,0.304138,0.32299999999999995,0.30406700000000003,99.97667430790301,0.018862,2340300000,500000000,4.68,500000000.0,1,2013-03-11,33.0,2013-02-08
GB00B7NWQT21,0.25,0.271538,0.3,0.271354,99.932347284816,0.028462,2219200000,500000000,4.44,499998150.0,3,2013-05-13,20.81,2013-02-08
GB00B7NY7B77,0.34,0.371737,0.387,0.371049,99.81498367368201,0.015263,5033100000,1500000000,3.36,1499990000.0,6,2013-08-12,61.35,2013-02-08
GB00B7NVPJ25,0.28,0.298142,0.313,0.298074,99.977134062584,0.014858000000000003,1653250000,500000000,3.31,500000000.0,1,2013-03-18,61.5,2013-02-15
GB00B7NTMJ55,0.26,0.312466,0.37799999999999995,0.31222300000000003,99.92215815853599,0.06553400000000001,1179300000,500000000,2.36,500000000.0,3,2013-05-20,63.4,2013-02-15
GB00B7NWZV75,0.35,0.371289,0.385,0.370603,99.81520623464199,0.013711000000000004,4506800000,1500000000,3.0,1499989000.0,6,2013-08-19,67.74,2013-02-15
GB00B7NYHG25,0.34,0.375781,0.384,0.37507399999999996,99.811949029443,0.008218999999999999,5420250000,1500000000,3.61,1499994500.0,6,2013-08-27,29.19,2013-02-22
GB00B7NX0D74,0.28,0.3312,0.37,0.330924,99.91658908394501,0.0388,3529350000,1000000000,3.53,1000000000.0,3,2013-05-28,45.65,2013-02-22
GB00B7NVTY55,0.27,0.300477,0.313,0.300408,99.97695502152399,0.012523,1505200000,500000000,3.01,500000000.0,1,2013-03-25,18.4,2013-02-22
GB00B7NVY171,0.285,0.30853800000000003,0.359,0.308462,99.97549202979602,0.050462,3358950000,1000000000,3.36,1000000000.0,1,2013-04-02,22.1,2013-03-01
GB00B7NX3T40,0.28,0.344596,0.369,0.3443,99.914160771693,0.024404,2793150000,1000000000,2.79,999985000.0,3,2013-06-03,89.62,2013-03-01
GB00B7NYMQ75,0.33899999999999997,0.3637530000000001,0.37,0.363094,99.81895017670601,0.006247,6653950000,1500000000,4.44,1499925000.0,6,2013-09-02,39.75,2013-03-01
GB00B7NW2L66,0.304,0.336945,0.365,0.336858,99.974158843764,0.028055,3561300000,1500000000,2.37,1499997500.0,1,2013-04-08,82.93,2013-03-08
GB00B7NX6H33,0.275,0.31316700000000003,0.349,0.312923,99.92198366096001,0.035833,3144550000,1000000000,3.14,999989000.0,3,2013-06-10,19.14,2013-03-08
GB00B7P0L885,0.34,0.354806,0.36,0.354179,99.82339547897499,0.005194,7176900000,1500000000,4.78,1499945700.0,6,2013-09-09,12.45,2013-03-08
GB00B7NW6D62,0.31,0.366727,0.43,0.366624,99.971875429949,0.063273,2720450000,1500000000,1.81,1500000000.0,1,2013-04-15,59.1,2013-03-15
GB00B7NVTZ62,0.28,0.317788,0.33799999999999997,0.31753600000000004,99.92083338619699,0.020212,3047100000,1000000000,3.05,1000000000.0,3,2013-06-17,17.56,2013-03-15
GB00B7NXF549,0.32899999999999996,0.350531,0.359,0.34991900000000004,99.8255196455,0.008468999999999999,6503650000,1500000000,4.34,1499999350.0,6,2013-09-16,97.85,2013-03-15
GB00B7P0VG60,0.32,0.34202,0.348,0.341438,99.829748869345,0.00598,6267500000,1500000000,4.18,1500000000.0,6,2013-09-23,60.3081,2013-03-22
GB00B7NXF986,0.29,0.35117600000000004,0.4,0.350869,99.912523120549,0.048824,2239500000,1000000000,2.24,1000000000.0,3,2013-06-24,95.5,2013-03-22
GB00B7NWC506,0.33899999999999997,0.366333,0.39,0.36623,99.971905637616,0.023666999999999997,3966800000,1500000000,2.64,1499999280.0,1,2013-04-22,8.36,2013-03-22
GB00B7NWHT97,0.3,0.341905,0.36,0.341819,99.974714792295,0.018095,4644650000,1000000000,4.64,999998720.0,1,2013-04-29,88.92,2013-03-29
GB00B7P0YV27,0.34,0.37555700000000003,0.395,0.37521,99.907482578107,0.019443,3325650000,1000000000,3.33,999990000.0,3,2013-07-01,59.67,2013-03-29
GB00B7P0YW34,0.3,0.34492399999999995,0.37,0.344335,99.82924755855801,0.025076,4113000000,1000000000,4.11,999996000.0,6,2013-09-30,39.06,2013-03-29
GB00B7NWMK57,0.32,0.341327,0.35600000000000004,0.34123400000000004,99.97288822097299,0.014672999999999999,3185300000,1000000000,3.19,1000000000.0,1,2013-05-07,17.42,2013-04-05
GB00B7NXJZ21,0.29,0.35439,0.38,0.354077,99.91172322961201,0.025610000000000004,2836250000,1000000000,2.84,1000000000.0,3,2013-07-08,37.96,2013-04-05
GB00B7P11H02,0.33,0.3665290000000001,0.379,0.36586,99.817571006138,0.012471,2989000000,1000000000,2.99,1000000000.0,6,2013-10-07,46.0,2013-04-05
GB00B7NWQT21,0.33,0.34031100000000003,0.345,0.34022199999999997,99.97390076416401,0.0046890000000000005,3645050000,1000000000,3.65,999999900.0,1,2013-05-13,53.37,2013-04-12
GB00B7NWCB68,0.31,0.364996,0.377,0.364664,99.90908373016,0.012004,2724950000,1000000000,2.72,999998000.0,3,2013-07-15,50.12,2013-04-12
GB00B7P14710,0.345,0.363297,0.374,0.36264,99.819176729984,0.010703,3361950000,1000000000,3.36,1000000000.0,6,2013-10-14,47.37,2013-04-12
GB00B7NXY573,0.32,0.35454500000000005,0.369,0.353919,99.82352516233999,0.014455000000000003,3988350000,1000000000,3.99,999990000.0,6,2013-10-21,40.4,2013-04-19
GB00B7NXS559,0.31,0.33306800000000003,0.349,0.33279200000000003,99.917030026098,0.015931999999999998,2858500000,500000000,5.72,500000000.0,3,2013-07-22,58.0,2013-04-19
GB00B7NTMJ55,0.299,0.30741,0.321,0.307338,99.976423422875,0.01359,2407500000,500000000,4.82,500000000.0,1,2013-05-20,59.4,2013-04-19
GB00B7NX0D74,0.28,0.3048,0.319,0.304726,99.975788876903,0.0142,1934100000,500000000,3.87,500000000.0,1,2013-05-28,97.25,2013-04-26
GB00B7NXY680,0.31,0.327538,0.335,0.327271,99.91840647050199,0.007462000000000002,2227700000,500000000,4.46,499993550.0,3,2013-07-29,79.11,2013-04-26
GB00B7P1CM23,0.33,0.34733400000000003,0.36,0.346733,99.827108233325,0.012666,5670050000,1000000000,5.67,999982000.0,6,2013-10-28,16.64,2013-04-26
GB00B7NX3T40,0.285,0.292774,0.295,0.292711,99.978347434557,0.002226,2584050000,500000000,5.17,500000000.0,1,2013-06-03,66.84,2013-05-03
GB00B7NY2564,0.305,0.318948,0.33,0.31869699999999995,99.921417088976,0.011052,2299600000,500000000,4.6,499989480.0,3,2013-08-05,46.86,2013-05-03
GB00B7P1GT71,0.33,0.343198,0.354,0.342615,99.830100552227,0.010802,4260700000,1000000000,4.26,1000000000.0,6,2013-11-04,13.6,2013-05-03
GB00B7NX6H33,0.28,0.288749,0.29,0.288685,99.97785429718901,0.001251,2615350000,500000000,5.23,499975890.0,1,2013-06-10,64.74,2013-05-10
GB00B7NY7B77,0.275,0.303131,0.32799999999999996,0.302902,99.924481946837,0.024869,2727250000,500000000,5.45,500000000.0,3,2013-08-12,3.8,2013-05-10
