ISIN Code,Lowest Accepted Yield,Average Yield,Highest Accepted Yield,Average Rate of Discount (%),Average Price per £100 Nominal (£),Tail (In Yield Terms),Amount Tendered For (£),Amount On Offer (£),Bid to Cover Ratio,Amount Allocated (£),Maturity (Months),Maturity Date,Highest Yield % Filled,Date
GB00B3K2G203,0.51,0.546191,0.561,0.5454479999999999,99.864011533878,0.014809000000000001,3539300000,1500000000,2.36,1500000000.0,3,2011-06-13,17.3,2011-03-11
GB00B6GX3G17,0.65,0.677415,0.69,0.6751349999999999,99.66335757496901,0.012584999999999999,4899900000,1500000000,3.27,1499990900.0,6,2011-09-12,33.73,2011-03-11
GB00B3JYY891,0.43,0.474013,0.5,0.473841,99.96365057651501,0.025987,4223450000,1500000000,2.82,1499998000.0,1,2011-04-18,16.37,2011-03-18
GB00B3K0JK37,0.51,0.540041,0.555,0.539315,99.86554067761,0.014959,5061500000,1500000000,3.37,1499980000.0,3,2011-06-20,88.8,2011-03-18
GB00B3K2RG15,0.639,0.661249,0.67,0.659076,99.671364891887,0.008751,6299250000,1500000000,4.2,1500000000.0,6,2011-09-19,28.5,2011-03-18
GB00B3K17Q87,0.44,0.485923,0.519,0.48573500000000003,99.96140731888,0.033076999999999995,2093850000,1500000000,1.4,1500000000.0,1,2011-04-26,56.15,2011-03-25
GB00B6GXG956,0.52,0.561105,0.585,0.560321,99.86030349263599,0.023895,3549450000,1500000000,2.37,1500000000.0,3,2011-06-27,57.82,2011-03-25
GB00B6GXGB71,0.66,0.6939700000000001,0.7040000000000001,0.6915770000000001,99.655158912473,0.010029999999999999,4361300000,1500000000,2.91,1499996600.0,6,2011-09-26,25.58,2011-03-25
GB00B3K1GY90,0.47,0.493993,0.519,0.493799,99.96076663970301,0.025007,2760200000,1500000000,1.84,1500000000.0,1,2011-05-03,26.9,2011-04-01
GB00B3K2RX89,0.5589999999999999,0.60523,0.625,0.604318,99.84933438490101,0.01977,3002300000,1500000000,2.0,1500000000.0,3,2011-07-04,71.6,2011-04-01
GB00B6GXLC32,0.68,0.729916,0.757,0.7272689999999999,99.637361736321,0.027083999999999997,5082100000,1500000000,3.39,1500000000.0,6,2011-10-03,57.45,2011-04-01
GB00B3K1P198,0.47,0.493044,0.504,0.492858,99.962191746623,0.010956,4884650000,1500000000,3.26,1499980000.0,1,2011-05-09,85.78,2011-04-08
GB00B3K2YB52,0.55,0.594564,0.615,0.593684,99.85198564287,0.020436000000000003,3674250000,1500000000,2.45,1499998600.0,3,2011-07-11,55.09,2011-04-08
GB00B6GXPH66,0.695,0.7404900000000001,0.75,0.737766,99.632127667197,0.00951,5444500000,1500000000,3.63,1499980000.0,6,2011-10-10,26.0,2011-04-08
GB00B3JZM885,0.47,0.484007,0.499,0.4838270000000001,99.96288447662701,0.014993000000000001,4260700000,1500000000,2.84,1500000000.0,1,2011-05-16,46.0,2011-04-15
